,iqr_weeks,weighted_mean_weeks,first_harvest,end_harvest,uncertainty
114,3,17.605291005291004,12,19,0.30850683740976764
115,4,19.22142857142857,14,20,0.5944102731088219
116,2,18.137710168134507,13,20,0.44418584901198777
117,3,19.0,15,20,0.7275712580100675
118,4,18.625050866769758,11,21,0.5209998593067487
119,2,17.565217391304348,14,19,0.5887123357154348
120,1,17.359394703657,13,20,0.47463418463388113
121,3,17.43734074588835,11,19,0.22926444865304757
122,3,17.142857142857142,14,17,0.8280755948386268
123,4,17.487215298667813,11,21,0.6466272745600321
124,2,17.969209738315325,11,21,0.5355129442437764
125,1,16.30188679245283,14,18,0.7634287422660586
126,2,17.035291358893186,11,18,0.29772942147798
127,4,16.931931000248202,9,20,0.6519777384522838
128,2,15.94488773427352,10,18,0.6147391510865744
129,4,15.62589928057554,10,18,0.3824612582308083
130,3,16.352201257861637,12,18,0.4545154971026149
131,3,16.925925925925927,12,18,0.4269471565337272
132,2,16.9121176745272,10,18,0.6156653005173667
133,2,16.117299463424573,9,18,0.5934945786952569
134,2,16.120512080084705,9,18,0.49079084530375455
135,1,16.725477604751966,10,17,0.6027986014204395
136,3,15.39622641509434,9,16,0.7764814270717224
137,2,16.401574803149607,9,17,0.5269800662144228
138,4,15.822033898305085,10,22,0.7165021508595154
139,4,17.410958904109588,11,22,0.5498571057720932
140,4,16.51930758988016,10,22,0.6955650100417375
141,5,17.352941176470587,7,22,0.9028480969460698
142,3,16.785070785070786,12,21,0.4132485973151104
143,3,17.63855421686747,13,21,0.5629704649846602
144,5,18.846153846153847,15,21,0.7257133087757262
145,5,16.77400787640109,10,22,0.8678496151966826
146,3,15.936724565756824,11,20,0.7917027388326184
147,3,17.32347504621072,11,24,0.6743762280254131
148,3,16.575,12,21,0.4061806345704732
149,3,16.404761904761905,5,24,1.2703441120964043
150,3,16.497822931785198,11,20,0.34623799379591647
151,3,16.462264150943398,11,24,0.5075515776838169
152,3,16.489795918367346,12,21,0.3223879226366114
153,4,17.26261489401613,11,22,0.6552941582278913
155,4,17.428847392144238,11,24,0.972443013648576
