Fecha Transplante,Fecha TransplanteTxt,AñoSiembra,Productor,Productor,Ha,Fecha Recibo,FechaRecibo txt,Año Recibo,Semana Recibo,Kilos,Clase,Tipo,Variedad,Parcela,Lote,Brix
19/03/2021,19-Mar-21,2021,VAP,San Vicente,0.0636,22/06/2021,22-Jun-21,2021,26,24,BSUF,Uva Amarilla                                           ,Honey Bunch,V02,14,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.7134,21/07/2021,21-Jul-21,2021,30,4840,CHE,Cherry Rojo                                            ,TyMoTy,V02,13,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.7134,22/06/2021,22-Jun-21,2021,26,387,CHE,Cherry Rojo                                            ,TyMoTy,V02,13,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.7134,18/06/2021,18-Jun-21,2021,25,492,CHE,Cherry Rojo                                            ,TyMoTy,V02,13,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.7134,14/06/2021,14-Jun-21,2021,25,473,CHE,Cherry Rojo                                            ,TyMoTy,V02,13,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.7134,14/06/2021,14-Jun-21,2021,25,140,CHE,Cherry Rojo                                            ,TyMoTy,V02,13,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.7134,10/7/2021,10-Jul-21,2021,28,5148,CHE,Cherry Rojo                                            ,TyMoTy,V02,13,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.7134,15/07/2021,15-Jul-21,2021,29,5280,CHE,Cherry Rojo                                            ,TyMoTy,V02,13,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.7134,30/06/2021,30-Jun-21,2021,27,1060,CHE,Cherry Rojo                                            ,TyMoTy,V02,13,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.7134,5/7/2021,5-Jul-21,2021,28,3619,CHE,Cherry Rojo                                            ,TyMoTy,V02,13,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.7134,3/8/2021,3-Aug-21,2021,32,650,CHE,Cherry Rojo                                            ,TyMoTy,V02,13,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.7134,10/6/2021,10-Jun-21,2021,24,354,CHE,Cherry Rojo                                            ,TyMoTy,V02,13,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.7134,29/07/2021,29-Jul-21,2021,31,858,CHE,Cherry Rojo                                            ,TyMoTy,V02,13,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.7134,26/07/2021,26-Jul-21,2021,31,1980,CHE,Cherry Rojo                                            ,TyMoTy,V02,13,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.7134,26/06/2021,26-Jun-21,2021,26,176,CHE,Cherry Rojo                                            ,TyMoTy,V02,13,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.7134,26/06/2021,26-Jun-21,2021,26,550,CHE,Cherry Rojo                                            ,TyMoTy,V02,13,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.7134,10/8/2021,10-Aug-21,2021,33,300,CHE,Cherry Rojo                                            ,TyMoTy,V02,13,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.8154,10/8/2021,10-Aug-21,2021,33,550,CHE,Cherry Rojo                                            ,TyMoTy,V02,10,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.8154,26/06/2021,26-Jun-21,2021,26,1141,CHE,Cherry Rojo                                            ,TyMoTy,V02,10,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.8154,26/07/2021,26-Jul-21,2021,31,2400,CHE,Cherry Rojo                                            ,TyMoTy,V02,10,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.8154,29/07/2021,29-Jul-21,2021,31,660,CHE,Cherry Rojo                                            ,TyMoTy,V02,10,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.8154,10/7/2021,10-Jul-21,2021,28,3000,CHE,Cherry Rojo                                            ,TyMoTy,V02,10,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.8154,5/6/2021,5-Jun-21,2021,23,131,CHE,Cherry Rojo                                            ,TyMoTy,V02,10,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.8154,21/07/2021,21-Jul-21,2021,30,3997,CHE,Cherry Rojo                                            ,TyMoTy,V02,10,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.8154,10/6/2021,10-Jun-21,2021,24,699,CHE,Cherry Rojo                                            ,TyMoTy,V02,10,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.8154,3/8/2021,3-Aug-21,2021,32,936,CHE,Cherry Rojo                                            ,TyMoTy,V02,10,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.8154,16/07/2021,16-Jul-21,2021,29,2240,CHE,Cherry Rojo                                            ,TyMoTy,V02,10,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.8154,16/07/2021,16-Jul-21,2021,29,600,CHE,Cherry Rojo                                            ,TyMoTy,V02,10,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.8154,5/7/2021,5-Jul-21,2021,28,3000,CHE,Cherry Rojo                                            ,TyMoTy,V02,10,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.8154,30/06/2021,30-Jun-21,2021,27,1218,CHE,Cherry Rojo                                            ,TyMoTy,V02,10,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.8154,30/06/2021,30-Jun-21,2021,27,613,CHE,Cherry Rojo                                            ,TyMoTy,V02,10,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.8154,10/7/2021,10-Jul-21,2021,28,2340,CHE,Cherry Rojo                                            ,TyMoTy,V02,10,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.8154,15/07/2021,15-Jul-21,2021,29,2640,CHE,Cherry Rojo                                            ,TyMoTy,V02,10,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.8154,14/06/2021,14-Jun-21,2021,25,218,CHE,Cherry Rojo                                            ,TyMoTy,V02,10,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.8154,18/06/2021,18-Jun-21,2021,25,931,CHE,Cherry Rojo                                            ,TyMoTy,V02,10,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.8154,22/06/2021,22-Jun-21,2021,26,852,CHE,Cherry Rojo                                            ,TyMoTy,V02,10,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.8154,21/07/2021,21-Jul-21,2021,30,704,CHE,Cherry Rojo                                            ,TyMoTy,V02,10,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.204,22/06/2021,22-Jun-21,2021,26,48,CHE,Heirloom Cherry                                        ,Habanero Rojo,V02,12,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.204,18/06/2021,18-Jun-21,2021,25,41,CHE,Heirloom Cherry                                        ,Habanero Rojo,V02,12,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.204,1/7/2021,1-Jul-21,2021,27,220,CHE,Heirloom Cherry                                        ,Habanero Rojo,V02,12,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.204,1/7/2021,1-Jul-21,2021,27,255,CHE,Heirloom Cherry                                        ,Habanero Rojo,V02,12,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.204,27/07/2021,27-Jul-21,2021,31,1068,CHE,Heirloom Cherry                                        ,Habanero Rojo,V02,12,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.204,16/07/2021,16-Jul-21,2021,29,1375,CHE,Heirloom Cherry                                        ,Habanero Rojo,V02,12,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.204,10/6/2021,10-Jun-21,2021,24,8,CHE,Heirloom Cherry                                        ,Habanero Rojo,V02,12,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.204,5/8/2021,5-Aug-21,2021,32,550,CHE,Heirloom Cherry                                        ,Habanero Rojo,V02,12,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.204,8/7/2021,8-Jul-21,2021,28,660,CHE,Heirloom Cherry                                        ,Habanero Rojo,V02,12,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.204,26/07/2021,26-Jul-21,2021,31,720,CHE,Heirloom Cherry                                        ,Habanero Rojo,V02,12,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.204,29/07/2021,29-Jul-21,2021,31,363,CHE,Heirloom Cherry                                        ,Habanero Rojo,V02,12,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.204,26/06/2021,26-Jun-21,2021,26,99,CHE,Heirloom Cherry                                        ,Habanero Rojo,V02,12,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.288,26/06/2021,26-Jun-21,2021,26,11,CHE,Heirloom Cherry                                        ,Habanero Tangerina,V02,12,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.288,26/06/2021,26-Jun-21,2021,26,191,CHE,Heirloom Cherry                                        ,Habanero Tangerina,V02,12,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.288,29/07/2021,29-Jul-21,2021,31,319,CHE,Heirloom Cherry                                        ,Habanero Tangerina,V02,12,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.288,26/07/2021,26-Jul-21,2021,31,600,CHE,Heirloom Cherry                                        ,Habanero Tangerina,V02,12,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.288,8/7/2021,8-Jul-21,2021,28,782,CHE,Heirloom Cherry                                        ,Habanero Tangerina,V02,12,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.288,5/8/2021,5-Aug-21,2021,32,495,CHE,Heirloom Cherry                                        ,Habanero Tangerina,V02,12,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.288,16/07/2021,16-Jul-21,2021,29,1694,CHE,Heirloom Cherry                                        ,Habanero Tangerina,V02,12,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.288,27/07/2021,27-Jul-21,2021,31,1284,CHE,Heirloom Cherry                                        ,Habanero Tangerina,V02,12,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.288,1/7/2021,1-Jul-21,2021,27,374,CHE,Heirloom Cherry                                        ,Habanero Tangerina,V02,12,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.288,1/7/2021,1-Jul-21,2021,27,374,CHE,Heirloom Cherry                                        ,Habanero Tangerina,V02,12,
20/03/2021,20-Mar-21,2021,VAP,San Vicente,0.288,18/06/2021,18-Jun-21,2021,25,11,CHE,Heirloom Cherry                                        ,Habanero Tangerina,V02,12,
