iqr,peak_harvest,first_harvest,end_harvest
3,16.450617283950617,12,20
3,16.507142857142856,12,24
2,16.774193548387096,13,22
9,18.83582089552239,14,24
2,17.15,13,24
2,15.817567567567568,11,24
2,16.710526315789473,13,21
2,14.636363636363637,13,18
0,19.0,19,19
0,13.08695652173913,13,14
2,15.055045871559633,12,24
2,14.545454545454545,13,19
4,16.43740795287187,12,24
4,16.36438923395445,13,24
2,15.26984126984127,13,20
4,15.182692307692308,7,21
3,15.157687253613666,12,23
4,16.47586206896552,11,23
3,15.746666666666666,11,23
6,16.797385620915033,11,24
3,15.529017857142858,11,23
3,16.875692307692308,11,22
2,16.229850746268657,11,22
6,16.397727272727273,13,22
3,15.409848484848485,11,22
4,16.108584686774943,11,23
1,14.043041606886657,13,17
4,16.94602851323829,13,24
1,16.55060728744939,13,19
1,16.79310344827586,15,19
3,16.76851851851852,14,23
4,14.941573033707865,12,21
4,15.654708520179373,11,22
0,13.518987341772151,8,15
3,17.595454545454544,8,23
5,14.263736263736265,8,19
3,14.017021276595745,9,20
3,15.563258232235702,12,21
1,12.493975903614459,11,13
7,12.025742574257425,6,19
0,13.0,13,13
3,9.91304347826087,7,16
0,13.0,13,13
1,18.444444444444443,18,19
3,13.620716510903426,10,20
5,14.570778564206268,10,21
4,15.25679012345679,12,19
3,14.834158415841584,12,19
4,14.604748603351956,12,20
5,14.649069666810904,10,20
5,14.444020356234097,11,17
3,14.722222222222221,11,20
3,14.849557522123893,11,20
2,16.304347826086957,15,19
0,16.0,16,16
4,15.211764705882352,13,18
5,17.257142857142856,12,21
2,15.067415730337078,12,18
4,16.055555555555557,12,19
4,16.112055641421946,13,21
1,14.461883408071749,10,17
2,14.728958630527817,11,19
4,14.444852941176471,11,20
4,14.853658536585366,8,22
7,16.26530612244898,8,20
3,17.644628099173552,12,22
3,16.78968253968254,8,22
4,13.78186968838527,11,17
3,15.262295081967213,10,20
3,14.593023255813954,9,20
1,11.790123456790123,9,20
4,14.39205298013245,11,17
2,14.577586206896552,12,18
3,15.251919385796546,11,20
8,15.609756097560975,6,20
3,13.563636363636364,6,20
2,12.132832080200501,6,16
2,16.00709219858156,11,18
3,15.444444444444445,11,18
4,15.405405405405405,14,18
1,15.505084745762712,13,16
5,15.944444444444445,11,19
3,16.271875,11,20
2,15.170731707317072,11,20
3,15.580555555555556,12,20
3,13.409544950055494,10,17
4,14.123762376237623,11,18
3,16.407894736842106,10,20
4,15.483221476510067,11,19
3,15.4875,10,18
4,13.142148760330578,10,18
1,10.58,10,14
1,13.318181818181818,13,14
5,15.585701981050818,10,19
5,16.071428571428573,14,19
3,14.070796460176991,10,19
7,13.814814814814815,10,18
2,16.38888888888889,10,18
4,15.018518518518519,6,18
0,14.869565217391305,10,18
3,15.1869918699187,10,18
2,13.03305785123967,10,16
1,15.494600431965443,13,17
2,15.076923076923077,13,17
1,15.477477477477477,13,17
6,15.377777777777778,13,19
4,15.986460348162476,13,18
0,16.0,16,16
0,13.49438202247191,13,15
3,17.285714285714285,16,19
1,14.956834532374101,12,16
2,14.890625,9,18
3,14.666666666666666,13,16
0,16.705882352941178,12,17
1,13.727272727272727,13,15
3,13.714285714285714,9,15
2,15.153846153846153,14,17
4,15.586021505376344,12,22
4,15.925831202046036,11,22
2,13.8,12,15
3,16.3,14,21
6,16.203125,11,21
7,16.26530612244898,11,22
6,15.178571428571429,11,21
3,14.80722891566265,11,21
4,15.844827586206897,12,21
3,15.536082474226804,11,22
4,18.42723880597015,12,29
6,18.18918918918919,12,22
5,18.513157894736842,12,22
3,16.928571428571427,12,22
5,18.106382978723403,15,21
4,17.24137931034483,13,22
4,16.690265486725664,12,22
6,18.98,12,22
4,18.906666666666666,13,22
7,18.46808510638298,12,22
0,16.0,16,16
2,16.952380952380953,13,19
5,18.381909547738694,12,22
3,17.819444444444443,13,22
4,15.194979568009341,9,27
3,13.086687306501547,9,20
3,14.857664233576642,10,21
5,16.182451253481894,11,28
4,16.027164685908318,10,27
5,15.502772643253234,10,21
7,16.80909090909091,10,28
5,15.422535211267606,11,21
4,16.0,11,21
6,17.153846153846153,11,21
6,16.06,12,19
4,16.093023255813954,11,21
5,17.307692307692307,12,21
5,15.661764705882353,11,21
5,17.825757575757574,13,20
3,13.910714285714286,9,19
4,14.3,11,20
5,13.933333333333334,9,21
2,12.705882352941176,10,19
2,13.030303030303031,9,21
4,13.807017543859649,11,21
5,14.572490706319703,9,21
4,11.914110429447852,10,14
1,13.949579831932773,11,15
6,22.02846975088968,11,28
7,21.31081081081081,14,27
4,22.5484496124031,11,29
7,20.683098591549296,12,27
5,20.683098591549296,13,27
6,20.612244897959183,13,26
1,16.263157894736842,13,18
6,20.544117647058822,14,26
7,19.483870967741936,13,27
7,21.40590405904059,13,27
2,17.26,12,23
6,20.45731707317073,12,27
6,18.487074829931974,11,23
3,15.724489795918368,11,18
6,19.15847860538827,12,25
7,20.59366980325064,12,27
5,22.44760039177277,12,28
3,16.356401384083046,13,18
5,19.56825396825397,12,26
2,16.075757575757574,13,17
5,17.811764705882354,12,23
4,20.92233009708738,13,25
5,20.308823529411764,12,25
4,21.338461538461537,13,25
4,20.628048780487806,13,25
5,19.675,13,22
4,20.948837209302326,13,25
5,19.864516129032257,13,25
7,20.38372093023256,13,25
6,19.16883116883117,11,25
2,17.6158940397351,12,19
1,16.625,13,19
2,17.2274678111588,12,24
2,16.10323886639676,11,18
2,16.76,15,18
2,16.0,12,18
1,15.864864864864865,12,18
